year,corp_domestic_applications,application_lag1,application_lag2,corp_domestic_registrations,registration_lag1,registration_lag2
2004,84030.0,,,,,
2005,98797.0,84030.0,,,,
2006,99381.0,98797.0,84030.0,,,
2007,97596.0,99381.0,98797.0,,,
2008,94734.0,97596.0,99381.0,,,
2009,92638.0,94734.0,97596.0,,,
2010,99507.0,92638.0,94734.0,,,
2011,103799.0,99507.0,92638.0,,,
2012,112064.0,103799.0,99507.0,,,
2013,122620.0,112064.0,103799.0,,,
2014,126026.0,122620.0,112064.0,,,
2015,126357.0,126026.0,122620.0,63009.0,,
2016,123665.0,126357.0,126026.0,68466.0,63009.0,
2017,118519.0,123665.0,126357.0,74158.0,68466.0,63009.0
2018,121192.0,118519.0,123665.0,70984.0,74158.0,68466.0
2019,128165.0,121192.0,118519.0,75690.0,70984.0,74158.0
2020,136734.0,128165.0,121192.0,83275.0,75690.0,70984.0
2021,145179.0,136734.0,128165.0,89690.0,83275.0,75690.0
2022,148669.0,145179.0,136734.0,82826.0,89690.0,83275.0
2023,157782.0,148669.0,145179.0,84108.0,82826.0,89690.0
